action,index,method,norm_cost,station_name,original,new
match_no_change,0,cost_center,,,,
match_no_change,1,cost_center,,,,
match_no_change,2,cost_center,,,,
match_no_change,3,cost_center,,,,
match_no_change,4,cost_center,,,,
match_no_change,5,cost_center,,,,
match_no_change,6,cost_center,,,,
match_no_change,7,cost_center,,,,
match_no_change,8,cost_center,,,,
match_no_change,9,cost_center,,,,
match_no_change,10,cost_center,,,,
match_no_change,11,cost_center,,,,
match_no_change,12,cost_center,,,,
match_no_change,13,cost_center,,,,
match_no_change,14,cost_center,,,,
match_no_change,15,cost_center,,,,
match_no_change,16,cost_center,,,,
match_no_change,17,cost_center,,,,
match_no_change,18,cost_center,,,,
match_no_change,19,cost_center,,,,
match_no_change,20,cost_center,,,,
match_no_change,21,cost_center,,,,
match_no_change,22,cost_center,,,,
match_no_change,23,cost_center,,,,
match_no_change,24,cost_center,,,,
match_no_change,266,cost_center,,,,
match_no_change,267,cost_center,,,,
match_no_change,268,cost_center,,,,
match_no_change,269,cost_center,,,,
match_no_change,270,cost_center,,,,
match_no_change,271,cost_center,,,,
match_no_change,272,cost_center,,,,
match_no_change,273,cost_center,,,,
match_no_change,274,cost_center,,,,
match_no_change,275,cost_center,,,,
match_no_change,276,cost_center,,,,
match_no_change,277,cost_center,,,,
match_no_change,278,cost_center,,,,
match_no_change,279,cost_center,,,,
match_no_change,280,cost_center,,,,
match_no_change,281,cost_center,,,,
match_no_change,282,cost_center,,,,
match_no_change,283,cost_center,,,,
match_no_change,284,cost_center,,,,
match_no_change,285,cost_center,,,,
match_no_change,286,cost_center,,,,
match_no_change,287,cost_center,,,,
match_no_change,288,cost_center,,,,
match_no_change,289,cost_center,,,,
match_no_change,290,cost_center,,,,
match_no_change,291,cost_center,,,,
match_no_change,292,cost_center,,,,
match_no_change,293,cost_center,,,,
match_no_change,294,cost_center,,,,
match_no_change,295,cost_center,,,,
match_no_change,296,cost_center,,,,
match_no_change,297,cost_center,,,,
match_no_change,298,cost_center,,,,
match_no_change,299,cost_center,,,,
no_match,300,,1110051,,,
no_match,301,,1110051,,,
no_match,302,,1110051,,,
no_match,303,,1110051,,,
no_match,304,,1110051,,,
no_match,305,,1110051,,,
no_match,306,,1110051,,,
no_match,307,,1110051,,,
no_match,308,,1110051,,,
no_match,309,,1110051,,,
no_match,310,,1110051,,,
no_match,311,,1110051,,,
no_match,312,,1110051,,,
no_match,313,,1110051,,,
no_match,314,,1110051,,,
no_match,315,,1110051,,,
no_match,316,,1110051,,,
no_match,317,,1110051,,,
no_match,318,,1110051,,,
no_match,319,,1110051,,,
no_match,320,,1110051,,,
no_match,321,,1110051,,,
no_match,322,,1110051,,,
no_match,323,,1110051,,,
no_match,324,,1110051,,,
match_no_change,325,cost_center,,,,
match_no_change,326,cost_center,,,,
match_no_change,327,cost_center,,,,
match_no_change,328,cost_center,,,,
match_no_change,329,cost_center,,,,
match_no_change,330,cost_center,,,,
match_no_change,331,cost_center,,,,
match_no_change,332,cost_center,,,,
match_no_change,333,cost_center,,,,
match_no_change,334,cost_center,,,,
match_no_change,335,cost_center,,,,
match_no_change,336,cost_center,,,,
match_no_change,337,cost_center,,,,
match_no_change,338,cost_center,,,,
match_no_change,339,cost_center,,,,
match_no_change,340,cost_center,,,,
match_no_change,341,cost_center,,,,
match_no_change,342,cost_center,,,,
match_no_change,343,cost_center,,,,
match_no_change,344,cost_center,,,,
match_no_change,345,cost_center,,,,
match_no_change,346,cost_center,,,,
match_no_change,347,cost_center,,,,
match_no_change,348,cost_center,,,,
match_no_change,349,cost_center,,,,
match_no_change,350,cost_center,,,,
match_no_change,351,cost_center,,,,
match_no_change,352,cost_center,,,,
match_no_change,353,cost_center,,,,
match_no_change,354,cost_center,,,,
match_no_change,355,cost_center,,,,
match_no_change,356,cost_center,,,,
