action,index,row,original,new
insert,187,"{'station name': 'BIRNIN KUDU', 'cost center': 'NG111S0345', 'country code': 'NG'}",,
insert,189,"{'station name': 'HADEJIA TOWN', 'cost center': 'NG111S0348', 'country code': 'NG'}",,
insert,191,"{'station name': 'MALLAM MADORI', 'cost center': 'NG111S0351', 'country code': 'NG'}",,
insert,193,"{'station name': 'MOKOLA S/S', 'cost center': 'NG111S0112', 'country code': 'NG'}",,
insert,194,"{'station name': 'GAISER S/S', 'cost center': 'NG111S0126', 'country code': 'NG'}",,
insert,195,"{'station name': 'OKE ADO S/S', 'cost center': 'NG111S0132', 'country code': 'NG'}",,
insert,196,"{'station name': 'OLUYOLE S/S', 'cost center': 'NG111S0133', 'country code': 'NG'}",,
insert,197,"{'station name': 'ABEOKUTA RD', 'cost center': 'NG111S0025', 'country code': 'NG'}",,
insert,198,"{'station name': 'IJEBU IGBO', 'cost center': 'NG111S0029', 'country code': 'NG'}",,
insert,199,"{'station name': 'IKANGBA', 'cost center': 'NG111S0030', 'country code': 'NG'}",,
insert,201,"{'station name': 'ORU', 'cost center': 'NG111S0033', 'country code': 'NG'}",,
insert,202,"{'station name': 'LASU-IDIMU', 'cost center': 'NG111S0061', 'country code': 'NG'}",,
insert,204,"{'station name': 'IFE CENTER SS', 'cost center': 'NG111S0090', 'country code': 'NG'}",,
insert,205,"{'station name': 'IFE RD. SS', 'cost center': 'NG111S0091', 'country code': 'NG'}",,
insert,206,"{'station name': 'ILESHA CENTER SS', 'cost center': 'NG111S0092', 'country code': 'NG'}",,
insert,207,"{'station name': 'IPETU IJESHA FS', 'cost center': 'NG111S0093', 'country code': 'NG'}",,
update,208,,"{'cost center': 'NG111S0095', 'station name': 'OSHOGBO RD. SS', 'city': 'ILESHA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'oshogbo rd ss'}","{'cost center': 'NG111S0095', 'station name': 'Oshogbo Rd', 'city': 'ILESHA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'oshogbo rd ss'}"
insert,209,"{'station name': 'EYENKORIN', 'cost center': 'NG111S0097', 'country code': 'NG'}",,
insert,210,"{'station name': 'GERI ALIMI', 'cost center': 'NG111S0098', 'country code': 'NG'}",,
insert,211,"{'station name': 'JEBBA RD', 'cost center': 'NG111S0099', 'country code': 'NG'}",,
insert,212,"{'station name': 'OFFA RD', 'cost center': 'NG111S0100', 'country code': 'NG'}",,
insert,213,"{'station name': 'OFFA TOWN', 'cost center': 'NG111S0101', 'country code': 'NG'}",,
update,214,,"{'cost center': 'NG111S0105', 'station name': 'STATION RD', 'city': 'ILORIN', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'station rd'}","{'cost center': 'UG111S2235', 'station name': 'Station Road', 'city': 'ILORIN', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'UG', 'norm_name': 'station rd'}"
insert,215,"{'station name': 'CAMPBELL', 'cost center': 'NG111S0046', 'country code': 'NG'}",,
update,217,,"{'cost center': 'NG111S0318', 'station name': 'BUKURU BYE PASS SS', 'city': 'JOS', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'bukuru bye pass ss'}","{'cost center': 'NG111S0318', 'station name': 'Bukuru Bye Pass', 'city': 'JOS', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'bukuru bye pass ss'}"
insert,218,"{'station name': 'DOGON DUTSE SS', 'cost center': 'NG111S0319', 'country code': 'NG'}",,
insert,219,"{'station name': 'JOS MOTOR PARK FS', 'cost center': 'NG111S0320', 'country code': 'NG'}",,
insert,220,"{'station name': 'MARKET STREET SS', 'cost center': 'NG111S0321', 'country code': 'NG'}",,
insert,221,"{'station name': 'YAKUBU GOWON WAY SS', 'cost center': 'NG111S0323', 'country code': 'NG'}",,
update,222,,"{'cost center': 'NG111S0324', 'station name': 'ZARIA BYE PASS SS', 'city': 'JOS', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'zaria bye pass ss'}","{'cost center': 'NG111S0324', 'station name': 'Zaria Bye Pass', 'city': 'JOS', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'zaria bye pass ss'}"
insert,223,"{'station name': 'REFINERY RD', 'cost center': 'NG111S0312', 'country code': 'NG'}",,
insert,224,"{'station name': 'DAURA', 'cost center': 'NG111S0356', 'country code': 'NG'}",,
insert,225,"{'station name': 'IBB WAY KATSINA TOWN', 'cost center': 'NG111S0359', 'country code': 'NG'}",,
insert,227,"{'station name': 'KOFAR KWAYA', 'cost center': 'NG111S0362', 'country code': 'NG'}",,
insert,228,"{'station name': 'TAXI PARK', 'cost center': 'NG111S0363', 'country code': 'NG'}",,
insert,230,"{'station name': 'AIRPORT ROAD MAIDUGURI', 'cost center': 'NG111S0365', 'country code': 'NG'}",,
insert,231,"{'station name': 'BAMA ROAD', 'cost center': 'NG111S0366', 'country code': 'NG'}",,
insert,232,"{'station name': 'DAMATURU S/S', 'cost center': 'NG111S0367', 'country code': 'NG'}",,
insert,233,"{'station name': 'FEZZAN S/S (DAMBOA)', 'cost center': 'NG111S0506', 'country code': 'NG'}",,
insert,234,"{'station name': 'GAMBORU RD SS', 'cost center': 'NG111S0368', 'country code': 'NG'}",,
insert,235,"{'station name': 'MAIDUGURI RD SS', 'cost center': 'NG111S0370', 'country code': 'NG'}",,
insert,236,"{'station name': 'RACE COURSE', 'cost center': 'NG111S0371', 'country code': 'NG'}",,
insert,237,"{'station name': 'UNIMAID S/S', 'cost center': 'NG111S0372', 'country code': 'NG'}",,
insert,238,"{'station name': 'AKWANGA F/S', 'cost center': 'NG111S0291', 'country code': 'NG'}",,
insert,239,"{'station name': 'GBOKO F/S', 'cost center': 'NG111S0294', 'country code': 'NG'}",,
insert,240,"{'station name': 'K/IBRAHIM F/S', 'cost center': 'NG111S0296', 'country code': 'NG'}",,
insert,241,"{'station name': 'LAFIA S/S', 'cost center': 'NG111S0297', 'country code': 'NG'}",,
insert,242,"{'station name': 'MKD CENTRE S/.S', 'cost center': 'NG111S0298', 'country code': 'NG'}",,
insert,243,"{'station name': 'OTUKPO RD. F/S', 'cost center': 'NG111S0300', 'country code': 'NG'}",,
insert,244,"{'station name': 'WUKARI F/S', 'cost center': 'NG111S0302', 'country code': 'NG'}",,
insert,246,"{'station name': 'WHARF ROAD', 'cost center': 'NG111S0059', 'country code': 'NG'}",,
insert,250,"{'station name': 'IHIALA', 'cost center': 'NG111S0192', 'country code': 'NG'}",,
insert,251,"{'station name': 'OWERRI CENTRE', 'cost center': 'NG111S0195', 'country code': 'NG'}",,
insert,252,"{'station name': 'EDE RD. OSHOGBO', 'cost center': 'NG111S0137', 'country code': 'NG'}",,
insert,253,"{'station name': 'LAUTECH', 'cost center': 'NG111S0900', 'country code': 'NG'}",,
insert,254,"{'station name': 'OSHOGBO MP', 'cost center': 'NG111S0144', 'country code': 'NG'}",,
insert,255,"{'station name': 'OSHOGBO SERV. STN', 'cost center': 'NG111S0145', 'country code': 'NG'}",,
insert,256,"{'station name': 'BAYELSA S/S', 'cost center': 'NG111S0636', 'country code': 'NG'}",,
insert,260,"{'station name': 'SAGAMU CENTRE', 'cost center': 'NG111S0023', 'country code': 'NG'}",,
insert,261,"{'station name': 'MUSHIN ', 'cost center': 'NG111S0069', 'country code': 'NG'}",,
