action,index,norm_cost,station_name,method,original,new
update,2159,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Cradock', 'city': 'Eastern Cape', 'segmentation': 'In-Active', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'cradock', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Doka Crs', 'cost center': 'NG111S0307', 'country code': 'NG'}"
update,2160,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Creswell Park', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'creswell park', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Creswell Park', 'cost center': 'ZA111S0002', 'country code': 'ZA'}"
update,2161,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Crocodile Bridge (SAN Parks)', 'city': 'Mpumalanga', 'segmentation': 'S3', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'crocodile bridge san parks', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Crocodile Bridge', 'cost center': 'ZA111S0800-G', 'country code': 'ZA'}"
update,2162,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dads pride', 'city': 'KwaZulu Natal', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'dads pride', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': ""Dad's Pride"", 'cost center': 'ZA111S0084', 'country code': 'ZA'}"
update,2163,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Darras', 'city': 'Gauteng', 'segmentation': 'In-Active', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'darras', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dardara', 'cost center': 'MA111S4498', 'country code': 'MA'}"
update,2164,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Daspoort Tunnel', 'city': 'Guateng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'daspoort tunnel', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Aeroport yaounde', 'cost center': 'CM111S2211', 'country code': 'CM'}"
update,2165,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Datnis Nissan', 'city': 'Eastern cape', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'datnis nissan', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Datnis Nissan', 'cost center': 'ZA111S0348', 'country code': 'ZA'}"
update,2166,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Daveyton', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'daveyton', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Daveyton', 'cost center': 'ZA111S0643', 'country code': 'ZA'}"
update,2167,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Deal Party', 'city': 'Eastern cape', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'deal party', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Deal Party', 'cost center': 'ZA111S0204', 'country code': 'ZA'}"
update,2168,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dekema', 'city': 'Gauteng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dekema', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dekema Motors', 'cost center': 'ZA111S0086', 'country code': 'ZA'}"
update,2169,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Delville Motors ', 'city': 'Gauteng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'delville motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Delville Motors ', 'cost center': 'ZA111S0078', 'country code': 'ZA'}"
update,2170,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dennilton', 'city': 'Limpopo', 'segmentation': 'S3', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'dennilton', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dennilton', 'cost center': 'ZA111S0325', 'country code': 'ZA'}"
update,2171,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dens Place', 'city': 'Gauteng', 'segmentation': 'S3', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'dens place', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': ""Dan's Place"", 'cost center': 'ZA111S0929', 'country code': 'ZA'}"
update,2172,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Despatch', 'city': 'Eastern Cape', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'despatch', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Despatch', 'cost center': 'ZA111S0205', 'country code': 'ZA'}"
update,2173,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Deutsche Auto', 'city': 'Gauteng', 'segmentation': 'closed', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'deutsche auto', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Elite Auto', 'cost center': 'ZA111S0509', 'country code': 'ZA'}"
update,2174,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Devereux', 'city': 'Eastern Cape', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'devereux', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Devereux', 'cost center': 'ZA111S0206', 'country code': 'ZA'}"
update,2175,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Devon', 'city': 'Gauteng', 'segmentation': 'S4', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'devon', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Devon', 'cost center': 'ZA111S0452', 'country code': 'ZA'}"
update,2176,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Devon Valley', 'city': 'Guateng', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'devon valley', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Sun Valley', 'cost center': 'ZA111S0438', 'country code': 'ZA'}"
update,2177,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dinoko', 'city': 'Limpopo', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dinoko', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dinoko Motors', 'cost center': 'ZA111S0377', 'country code': 'ZA'}"
update,2178,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Domza', 'city': 'Mpumalanga', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'domza', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Domza', 'cost center': 'ZA111S0291', 'country code': 'ZA'}"
update,2179,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dougladale', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dougladale', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Tamale Dungu', 'cost center': 'GH111S0296', 'country code': 'GH'}"
update,2180,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dowerglen', 'city': 'Guateng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dowerglen', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Berg En Dal', 'cost center': 'ZA111S0800-F', 'country code': 'ZA'}"
update,2181,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Drakensig', 'city': 'Limpopo', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'drakensig', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Drakensig', 'cost center': 'ZA111S0685', 'country code': 'ZA'}"
update,2182,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dube', 'city': 'Gauteng', 'segmentation': 'In-Active', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dube', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Diaobe', 'cost center': 'SN111S4132', 'country code': 'SN'}"
update,2183,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Durbanville', 'city': 'Western Cape', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'durbanville', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Durbanville', 'cost center': 'ZA111S0207', 'country code': 'ZA'}"
update,2184,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Dyna tune-up centre', 'city': 'Guateng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'dyna tune up centre', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Dyna tune-up centre', 'cost center': 'ZA111S0644', 'country code': 'ZA'}"
update,2185,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'East Rand', 'city': 'Gauteng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'east rand', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'East Rand', 'cost center': 'ZA111S0073', 'country code': 'ZA'}"
update,2186,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Eersterus', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'eersterus', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Eersterust', 'cost center': 'ZA111S0948', 'country code': 'ZA'}"
